video ID,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
vYVGslS0itE,AknyR-kRvLc,rmeMGbJvu9E,aeGBf5lnhhY,JILwrJWKTAU,Nq-U-PkvbCM,zGtgb2vElJw,aEYFn8RyO9M,FJfK8UaIBaA,8DlZjt76Gnc,_vxU5yioDdA,TpNY3BY8jQk,7M6s1e_O4tI,clXt2ueJAaU,uQdqMfw9iuU,r-ijzCCbS7A,NCeVW_oevvM,K3mgk6-Lg08,FWRs6X3y310,m4WPt9AZY9c,Lhj1IoVgjn8
m4WPt9AZY9c,AknyR-kRvLc,rmeMGbJvu9E,aeGBf5lnhhY,vYVGslS0itE,JILwrJWKTAU,Nq-U-PkvbCM,zGtgb2vElJw,aEYFn8RyO9M,FJfK8UaIBaA,8DlZjt76Gnc,_vxU5yioDdA,TpNY3BY8jQk,7M6s1e_O4tI,clXt2ueJAaU,uQdqMfw9iuU,r-ijzCCbS7A,NCeVW_oevvM,K3mgk6-Lg08,FWRs6X3y310,Lhj1IoVgjn8
MCyxepQKBUM,v924OISPPpY,w63rYG83pI8,lutKdLpR2pA,g4NlkuZioww,QgsDqc-sWBY,WUNsPJy1Tgo,OFUqH3vS_bg,Zv-L6-b04Co,-1NG1xHIDAo,KxPocYISWJ8,C8ST5m9pREQ,vWQC_SnEGaA,CMYnVGurwaw,O35a8Hvbilw,DlA2_C2bFO8,7_OzxsIIFOk,E71FEshMxuk,i3eEXxM0Eos,FTPHkJtfzlw,4zH24YgCIKs
gb0eVsg50xM,ETg3OZaTjWA,5kC4F86fejc,9ub4l0PSFBE,A1-rgI0ss1o,GuQCRZzKWvU,3VTcEe_1yAU,sSq5VdnK6ws,QQPTlAri8tM,bNJtI4ZtFuI,Djc4k3CcUP4,Bhi-Dv1ou6s,Aecg13Gw8Mk,tMz4dRwQJwo,uncB5h-hQDM,63q0SUiMAfc,ei_GWL0TtFQ,WPuJ_8FAn70,ZbXLQG8ddZk,QPatBxynPIY,irlcBwjskBQ
s8wt91rs550,sZQEWa0ngZw,A1-rgI0ss1o,PODfvA83L-8,4u7p1o9hHjQ,SUYbN-vvdHo,vzv3V4yZn5E,inHst59nNm4,qr8B2dnIvR4,EC2-MUNbwhs,7MiIr7XUAkI,UIpVTLkyS4k,ZQgexsIgSf4,TtQ3YpuLENs,4RxLr0IcOd8,qXeTfDloDCU,_hsZB9ODTgw,kWqzJI0lshk,H2ObSAaTwJ0,Z0m8tO3yJAo,MXvoicnQ9DI
5kC4F86fejc,ETg3OZaTjWA,rTGPPjJZSNo,0-8aDFhfP0Y,QQPTlAri8tM,jHbv0sMscX0,f54Iun2yXEg,74fWEVHu8b0,Bhi-Dv1ou6s,c8-HOytYbcA,9ub4l0PSFBE,gb0eVsg50xM,v924OISPPpY,QVNy8-dmZPc,ONwIPOLA9gQ,6FMzLUBsZM8,dVDHhc4QnbA,whubPa6hLWk,mdIOXsIzSXY,1gmTIxcKHvI,UxIKXcoV0DA
tHpihMsJoYk,x2qOm-UIjOg,srK0B8YVgSc,o5jyvrmaN7g,48_twUMgDkg,nxvhxFJhO1Q,giRmYVKARkg,QzSea_8_Dj0,b2K004APUJo,uMjuFmKvuBQ,ogRcxZ8-z8U,S-y3t1BI-AA,i_-0u3TUFGA,4a1Iqu5b4NI,1MdaP0_gyQk,LQPEsa5e7K0,uUn4-1Jd3tw,1pYTOHernds,CSpnxIAOs1c,PNbQX3UYunI,wXn7_H2I8SY
7fXGKvu234M,s6R4DUtqaY8,Gq6QF5gQf5M,46AfWYHSWS8,vbVHE3Z0Y8s,9ZeJCbJOzFs,duQ1pt4IjBc,H9IfgtaNBO8,bR5pWuzGAug,Ci5Nf9IHnjc,PEtIR0xHDfk,CZbVwnf1HyA,irPaKOWaBXA,xBYN-LV5Pqc,wFZqsk2T_zk,MSTJuNNDCPs,078_6Dsldls,Z6dqNlN7f6U,P-S28o4wnd8,evX4cX8AZr0,ldtVi6KyFW8
cQKjTcVDul0,rfrFTsmIyRg,WC0ydwrHgI8,X2IExa2A198,-7LbV8TaY3Y,mg1usknyMjA,Mlm9LbxTBDQ,Kj0owfO6UEc,qMzCAjNAmv4,DirBbksulqQ,DkOCCnFwuRM,RWKfpk2J7Zw,SdkuQW5n0bI,amHQoBldnmU,r_PlaSXFCnU,v29_kAdOSDU,lh3upFDPL-Y,uPMlh4FSzw0,UI3P8VbLIVo,wCF3ywukQYA,E5ls87xghoM
GasfMMSYnWc,0fr02VqwQOA,fCV_z2pzjow,bzfDMe0y8TQ,rBBleNvbXt4,bh6xpck4OSQ,VTJHetFncLk,MymMhj3Vgww,Xf7wC7Q5O7o,sH3LMGiCxVs,Kv9HSsd3GFc,juhLvLX0Mfw,lIokBmqq6A0,ndiRRjCyV_E,Phbe8mEDMe4,8vhiUG5xMPY,JdLCEwEFCMU,khFhF64P3VQ,pK4bLMd0avU,ji6wZhAy70s,8VeydmD-R-I
