video ID,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
wyw-VNitc0g,vYkKZ04rX3Q,qD6ImmJXpeg,q6tnPX4vtPA,U4yNxhKRUcQ,31bONMew0J0,EaRUOVvOFEc,jkCXCaWereY,o53eTwXw7wU,3-km-JgOMOk,pvW_Ntocc2o,XiKGZFX-hcA,5uWctFLkQOQ,JsEyuB25S5g,xl4V4UBM9zQ,0hz6A_aP-nc,cd2DxsxQEuU,vHWlB6tCC6c,OTYPI5bBy5g,nw3leOmp6Jw,okvSba7vdI0
xqdjb-XkzG4,bJXKkxE1Ri0,AABD9y6QY4s,Wpgeu_dy8zw,CHi51oWzV_M,MV95TjaXkX8,XAxpYC7tusU,vVhSDhDOHh0,qBjLW5_dGAM,rGPWcfTZs0Q,WUJ4dV_Jl7k,Pa_V6msDZc8,KWIpKDzy_wk,X23h2ZXMw1Y,Cm2wQgI4XLg,3vPm3Xe25po,3flRHh5RB-s,uDhT1xZb0es,McVwUuuEUaE,3FFM6fO1hy0,aJCyRzNFBHA
aeGBf5lnhhY,k3eS8M5YCnM,rmeMGbJvu9E,ijBENpqMbFU,cZK9KCt3YkA,f2sGOUcwmJE,w92a5PVdcRU,G8oQxl8GEjo,MYDuy7wM8Gk,xoIzmkLl5p0,TpNY3BY8jQk,4i3KPxtBGKo,gsZ-x_mfaYw,4elBkp02f7I,Nq-U-PkvbCM,FWRs6X3y310,-8g_OTJ6OE8,ydf-ehnyRLc,flo0LrX0qUw,60pK7PNuUeI,J_XrIx2eUGc
uQdqMfw9iuU,Lhj1IoVgjn8,NqyKpJwk29o,dNdGsqyBhxI,FWRs6X3y310,PweexZbzAhY,kftfNQ1OcsE,-8g_OTJ6OE8,VczbbiRmDik,AXdupirPtZ4,FYUFN0Ed9wk,dszU8jr0RPs,5rm-FVsBVcI,r-pzdPLfy9Y,ydf-ehnyRLc,ojyjmyfFaxE,cl5iWQOojvk,EQ02T9w8bLc,p--dHQIeagE,A46SSY9q3n8,gsZ-x_mfaYw
5rm-FVsBVcI,-8g_OTJ6OE8,Lhj1IoVgjn8,PrLS2S0Cp8U,6SkWIPKFrxk,7wrl2D-QSHA,cl5iWQOojvk,gsZ-x_mfaYw,YiXOVZ6GjAs,exDeFuhBKF4,IpYOy2qp9OI,NqyKpJwk29o,ubM7vTd3LUg,6yQskb2cIP4,gzf3obuzslI,IAlmxV8e7tE,aeGBf5lnhhY,ydf-ehnyRLc,uQdqMfw9iuU,KJwxF1qEZdE,koWxUd30hDo
Lhj1IoVgjn8,-8g_OTJ6OE8,5rm-FVsBVcI,GzitZv8Enmc,S_lE_L0UtkQ,PrLS2S0Cp8U,koWxUd30hDo,0JkmVS1w8OY,7i4aF50hopo,lxBod1TPMQ8,nDGa02tgDis,H3iDiVygTsY,uQdqMfw9iuU,DYFIuazwPiI,KJwxF1qEZdE,0UXlqk7NGdY,0zwIoJuUsvM,NqyKpJwk29o,IAlmxV8e7tE,y0CW9vlVPPU,6SkWIPKFrxk
gMTSIWXZ8ts,bk7QooCVfks,NNNB4ZVgBgc,2-qNR7TtPXs,35L4Np25-xM,eOtkd367ATk,qtiVik5eqMk,haty4gaIehc,qcXn9E317BI,_tN_g5o0jUQ,P6X44IqTY5Y,Wwvs2ZhUaiU,qlEC5r5jwxc,RubuPhL3Onk,2UxCWmxdZg0,UZj5YFJFyWA,ovCTuN6lv18,IQHG9VSA-tA,vLSUdF2d_uI,pwHXET9QQQ8,BQxqOCuv1lE
5uc9WMwzaiY,q5qSYu98eVI,M4lsukVPM6U,vxF8TluB61E,deYCGkLAH9w,Uz5E4UhaSZ0,f8d7wv8XJx4,d83eEcOyrGQ,92SHOIM4URA,kYZ4QF9vsPo,zyUHMko8Mx8,24Rr8KE_6-g,e641aQp8zGI,afJniMxL5m0,RkjvHEYHGY8,R7EOSaD36Ko,eFt2IZX_5so,PKmHBFgIoX0,KMkn8FMYCAo,hStO9kNmKT0,vcTVM0Z9qxs
nA4N9ex56jA,,,,,,,,,,,,,,,,,,,,
xu3JO6mPo3g,Nz41UyCjuMg,o4ljsTq_08E,CIdOUrtsEeY,M5I9JvGDOug,y3af3B73jPE,NPzpHgRRGw0,twP1QyRex6U,ZqmUkt6dPtc,pI5qVOfQyXE,QW2uT5LNcf4,9WC_qCeGZ4w,L-cFeyBGO8Y,VsktLNpiefY,h2O4w0xP8SA,e66Og0lOCcE,qw5eviRbnoE,raYxeXOwXDI,pBmRJOREQK4,WdoF-99WPqo,Fr2WM78sVTo
