node,betweenness,ap
f20TlMtv0hA,0.9375,5.4
CwuEq2spVnw,0.0625,1.2
gykg-V0T7q4,0.5,2.2
XarkDq5wbUc,0.125,0
adnclvPXm4E,24.75,0
pku6Vsd7YAU,16.5,11.4
5Ok9_YI09so,16.5,11.2
AybXJV4ukac,16.5,2
QZ8Ht2JdfUA,16.5,2
ohLMtLIgtx4,16.5,4
G5fPlFnMyKQ,16.5,1.6
Ki0mL0pgEEc,16.5,2.2
Ck-L0RUsUSY,16.5,0
Ky3Z0mjtrAo,31.41666667,0.6
2MvG2rw4Lxw,16.75,57
7X0wdK6XwZg,16.5,15.6
7vghb769tg4,16.5,1.4
qjCASu7qcG8,16.5,3.2
z1LcLdwVAJY,16.5,0.6
m0mXcrV9y9E,16.5,12
JY5idX4k-1Q,0.166666667,3
ck-v3UFBK2E,0.222222222,17.8
i9zObH3yc48,16,0
12gVdFJ28-g,16.5,0.4
4yzdfJjEUn4,0.166666667,6.4
t85hQ8bgfbw,16.5,9.4
LUseNXhcc6I,14,0
aa37ZBWdenM,0.777777778,28
ywUYymEQALo,14,2.2
AI1hHgEgIBI,14,3
gMK2x03-tWg,10.5,8
mYcpx_bUBHk,7,2.2
_N97nz-6HSc,7,1.2
PbLFuCEBLQw,1.875,10.4
YpnNhlCHFE4,1.875,8
P5sNK2UK0LY,3.75,5.2
LjjfI7jPQEA,3.75,3.6
sFs__UZ39aE,1.875,1.8
VzMyX0CZrKo,15,2.8
QVa0geCGh7Y,15,0.6
ZulqvdcSsRo,7.25,0
EJzrbFnPKG8,3.625,0
E7SQh4yBzVc,3.625,0
klEF_v-Ot9g,15,1.2
ZfH5nElRo0M,14.77777778,20.8
Yzpv6QIrCRE,0.777777778,25
HyRgiX_Ay8U,42,14.8
MDTAE2ssgkI,0.777777778,27.8
ZYUkAqvzIeE,0.777777778,35.6
IhYvBMLVugI,0.777777778,12.6
HbEMFLlNyLs,0.777777778,8.8
A4bZOx-IGuc,1.737037037,17.8
5goe3a-ePtg,0.777777778,19.6
5bjVFwoeEoc,2.8,4.4
8RKczar2av8,14,1.2
t81ClUzyeLU,2.8,1.4
DFkL9CzsdyU,2.8,0
d5T1adiFvXc,2.8,0.4
KIEWhAVrJzo,2.8,2
inWr8Uvu4oc,14,0
nHOY2PZ3Ar8,1.555555556,0
xl4V4UBM9zQ,9.333333333,0.8
TEt6ljB5Jws,4.666666667,0.4
dxiPysaDAnQ,4.666666667,1.6
cd2DxsxQEuU,4.666666667,0.8
E9_GQxfXE_U,4.666666667,1
tMz4dRwQJwo,14,13.8
MTrDA9kqeaM,14,2.4
3XBcBHOXgDA,15,51.4
_Wi26K-Li6U,15,18.6
h0S4ULdDiao,14,0.8
8YUZRviImH4,4.083333333,24.2
gfanGpi_pe8,14,2.4
F-DZ63iAb6E,2.916666667,29.6
CpqQ0L0cFTM,3.5,1.2
NoXDUJnLhWE,2.916666667,1.6
cpG0iy_la0M,1.166666667,2
ej4i0xM0UzE,3.5,3
tBeqAs-MdsE,15,1
w0z8fVrTyzg,15,65.4
rsm07QTM3hQ,7.5,5
wQ942ZaKUjg,5.625,7
sBD83eRwQOQ,3.75,8
KW1Oim0QI5E,22.5,12.6
G40JLYqroZU,7.5,4
_DEtqDQ7ThU,30,1.4
Dq2mcSsR_D8,14,0
1hBaTsZF900,14,0
FqzPkxz6mEc,14,0.6
GYtdH7xmlq0,14,0
0ikXIEuU-pM,4.666666667,0
t0oDDHbARzY,4.666666667,0
oJ7OBR2iaVc,4.666666667,0
G0zTHyieyPw,14,1.4
34za1JeS7Ho,30,7
Ozu8wCIP39Q,15,8.4
z2mVXe08RH8,7.5,2.4
Gta6Mljc-7I,7.5,5.4
I5xMtuXO248,7.5,15.4
FDoVvkWdeJw,7.5,1.6
X6wYPk4TQYU,7.5,14.6
9XKMF3VwhN0,7.5,20.6
XY6SD-wO_14,15,14.4
RzlAwQWd1_M,15,6.8
LjSdoMrlT5Y,3.75,22.8
mrw5VPTBxOo,3.75,0.6
gL1GglQNbZU,3.75,20
Z8D1woHRvRs,3.75,5.4
zRv5OP0oivQ,14,3.2
UOX3RysUqHg,14,1.6
B6A4E8r-3Vk,14,16
0PNVHN3yELk,15,16.8
TD1Z6Az1Xnc,15,15.6
EBpwZx436nQ,15,4.6
Qad3pum8BCk,15,0.4
hqZ_ffKxyJ4,15,1.2
4FRk-KSw_g0,5,0.4
RuvgseO26EU,5,1.6
Gy1LDaKe5uo,5,4.4
A84rONkg86k,30,5.8
A8HFi5MIipA,15,32.8
9X9JRoA_YSk,15,14.2
sBkTW6HbPa0,3.5,2.4
XaD9h_HGvXU,3.5,0.4
CVx6LLtuzYw,14,0.4
KRKT43zFbfM,3.5,1.2
cbMGh0XhpTQ,3.5,1.4
MvnRCvPd7RU,14,0
0xJ7CkBMwWA,15,2
MkkOnJwcyP0,7.5,0
MLP-jtEEemQ,7.5,0
CbY8Q8v8f_o,14,12
tgETG19LGDs,15,20.8
y9re-9NpFNM,15,0
FsNXrDVPrHE,15,35
ceXFP9lt6o0,7.5,0
0F_LH14bVXk,7.5,0
lMxcg-4DnMM,14,0
Y_AhAMtKUxY,2.8,0
ui9QD3BI_Z8,2.8,0.8
iyrAPjPezRM,2.8,0.8
KU4U3AeBToY,2.8,0
NmJWajJxBxE,14,1.8
8t0XkLiC6Ds,2.8,0
Hn5dsfVYhAU,5.25,3.8
jmYw_vZsWC4,3.5,1.2
nZnmZN42FEg,3.5,0.8
#NAME?,14,20.6
C7jM5VhjF24,6.144444444,18.4
nus__3iBk88,14.77777778,7.6
soYLuokJa6o,0.777777778,7.2
H5xQyE_oXjA,0.777777778,6.4
nlKDBTndiX4,0.777777778,20.8
7tHhi69WhQg,0.777777778,26.6
p0d8iFi0H3Q,0.777777778,6
AiXaHiqZJPw,42,0
_ffGqlQDkpk,0.777777778,11.8
SHufEKh6uLU,0.777777778,16.4
bYAayzEJ_wE,14,5.8
ynMzUDw-ORg,13.66666667,103.4
3gqeA_HuIbo,15,25.2
iSUTnRKJ0Zs,20.75,11.6
a40ZYqMH4G8,14,44.2
FRikd037tpo,14,16
otWe1Zscl3Y,14,6.8
d73tnRtKZbQ,14,6.4
iU9HMkjtYfU,7,8
62RAGHJ_T-8,14,2.8
i2XbAd0zBG0,7,9.4
3npib5c6RB4,11.58333333,3.2
#NAME?,23.66666667,1.2
7pS2ZT90s8I,11.58333333,0.4
1CWKoSOLz9c,4.833333333,1.6
hvbG6tLRAs0,0.5,3
b7kN0XwXlQQ,0.5,3.4
GrhDpXsadsg,2.25,5.6
WNgVd_Dpv0Y,7.75,0.4
05RU06pyed8,2.5,0
QV9kRFDogOM,7.25,0
WPDM4qmsoCg,7,12.2
AOdvLcIeVLQ,2.25,3.8
wipUBj2qRlU,2.25,3
4t9y-07qvj0,1.555555556,0
hCECjFwh0lQ,1.555555556,0
zwx0_OuR-Po,1.555555556,0.8
1YFfaPsNTd4,1.555555556,0
LsTWZSrDpAU,1.555555556,0
5i9lQnzhPEI,1.555555556,0
LTkYHW0mDwU,1.555555556,0
_G3Fa7t1cI8,1.555555556,0.4
Ptw9hjSqXTk,14,0.4
rM-kGyxzr6k,3.5,3
c0ekf0puB1E,14,0.6
yLs0olRchvw,3.5,34.4
qQjHrBd3fOc,3.5,3.8
IH2ppkwclfM,3.5,9.6
4C_eFQQcuow,3.5,1
pyuXN8ZVQ-U,15,36.4
He86OrIx4lo,15,12.4
GIgxMq1EUlU,14,17.8
9PjB8ZeJWEM,7.5,0
wV749LuYKQI,15,3.8
XiUEvfcr2zE,7.5,2.8
_o8YBZ-ClZk,7.5,0.4
MoCjIhsaZkk,15,0.8
