video ID,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
rEycXsyVu_U,7_4xqQffK8k,CT5tGAu-rPs,9_u-sWwyWI8,T6jPQ6Ftesg,IaUxVKfuzOc,T7aMFuj0PaI,bZ4rWYw5OaM,htpulp7ZbWE,QMGbapkjBp8,n7Oxb5kaBBE,LRXhSJgC5S4,7sfuJjA1sTs,Q9KQVZVGZrk,tzwKmU3Y59M,g06Ruui5gs4,HPsH0vmTHQw,jk1DSWkCa-U,xYJDSYMT_E4,CipqpMFk2Jk,uQqQkZLHDns
SQ_HHV8vdAE,n7Oxb5kaBBE,9_u-sWwyWI8,T6jPQ6Ftesg,rEycXsyVu_U,T7aMFuj0PaI,bZ4rWYw5OaM,htpulp7ZbWE,QMGbapkjBp8,LRXhSJgC5S4,7_4xqQffK8k,7sfuJjA1sTs,Q9KQVZVGZrk,CT5tGAu-rPs,tzwKmU3Y59M,g06Ruui5gs4,HPsH0vmTHQw,jk1DSWkCa-U,IaUxVKfuzOc,xYJDSYMT_E4,uQqQkZLHDns
htpulp7ZbWE,9_u-sWwyWI8,T6jPQ6Ftesg,rEycXsyVu_U,bHYDIPAEVz8,y1vcft-ZNmg,6BhR3P2flHM,owKkSxGT8Ng,3fpupBCL6TE,1q7OztyTtco,3t-tiz830UM,NBLDSH4YPfA,CSVBADpK9fs,z-SmV-AiHyM,6Kgx7XvuikQ,12j1_rKbUUM,9twCQtXsq90,Zm3EWeaEgvM,EZaDzZwgRk4,Acxg3pakjxs,YD1G5rPD8vM
7_4xqQffK8k,bZ4rWYw5OaM,5Jo_ahNghmE,0bsXI8MPmk0,GK-uUHchyeI,lE454cSwpQ4,o_drMjx5G94,w93VtrE3kN8,0CV7VIJdBls,i44NDDtisns,Dlk4OcoiolU,NGNbAgtNZVM,g06Ruui5gs4,GMBatTd25ss,Pd3LGQVJKV4,jZoIOrECzAo,RSZTG05dPAs,3zSbIAWZ_QM,eNwzNczqVF8,kqW9qkyZZI0,9TW13hYyz88
CT5tGAu-rPs,T7aMFuj0PaI,6TwJHjEmAM4,G8YquefJVYc,AMsO6NzP4QM,ZxumTu0J6wQ,ZSIGwUSOTTM,IvR-Y0Mrv9U,LRXhSJgC5S4,p9ab3qxIH4Q,h34VI18do8Y,dWlM0ag0HN0,eYaOtvULpDw,GbAJJ1mw9go,tW7jBVUKSlY,dxYNUu_2egM,1VqSldpLtKk,uw7MgDSG98c,M9k4nkmDrN0,PYQEn45oznA,U1trkBh92bk
jk1DSWkCa-U,bZ4rWYw5OaM,LRXhSJgC5S4,QMGbapkjBp8,IaUxVKfuzOc,n7Oxb5kaBBE,xFZCK4yay8E,Jb18CWao5kY,zx0scEsBGfM,gSoskt9xvWo,hlGsKsPFAIg,Czttc9c3vjU,zJ77f2K7d7Y,ejM3fYWutis,M0_dOY1lu1A,dv8HGsy0bsA,ykINtX_WeF8,OTUve2nZzPQ,xtlXhzTn3OE,IDCm4NW76dw,PeF-zgd_PLI
ywUYymEQALo,1kW5S3hDlRU,orj43Cxt8hE,sUAJgbZcpdE,LPvq3JLhwkA,ds9eAvGkitA,nvPeK2Dpr-A,Fo4Vj7pfGx8,JJrnR2lCtkU,6WwokxaahnM,zRPHRIos2eo,-S7fhfuB7Ns,AI1hHgEgIBI,fmXq5XlBH7o,JSUL-v8DhlE,-n02UdnLyVk,lQxwYjewdqA,pn7AtwCEuvw,UwKblEHUq_c,cnc6bgquhwo,zGDW_R5qx0w
G5skzLS9RGU,O63BJDsboG8,H6I9w8oC3pI,0bjynCYPs-M,d6WqEFN1ogY,gleYXXA_rNw,dWlRDjhU6w8,eYjA8dNIoSw,jTUQd5usMyE,yNrRKEQa2PU,CxouCfPS7AY,4B8LsnD3BKg,YLrjSszXzG4,0CmrjgJccoc,ZxyE8clSwYk,HTcBer-d7xk,8xsoCuftCpw,TmYTRhSEDrM,81qHa3gJB3E,yvO1vOieF3Y,xnLXZdijPsA
4K9EEAm8WI0,4hKZKgHG1g8,43nrHJhjpUM,LBCH1HzYeYc,Ndj6sQfzCD4,IYx-JQZs6OY,dF_TMr-M_Sc,dTlCUN-lwjY,n8eMf9_33R8,OkDARWt2lN4,9ysAexJZcBE,LQPEsa5e7K0,WH13FRDzrZI,qm3h7mqkQK0,WIkysO7_4Kw,E_QfULlTF8U,JhKSdkN1o6E,9ulleKSFK1Q,SAUUJkEjBEc,Tg305vLk4HA,
4R75-_6eQ5I,SAnBXO-hpKo,9OaSZxbe8hc,Na9kqO1x9oA,QKYA6FYwA2Q,hK-dC5ClbIE,KHXje2Jg-uQ,HveT7o0TTyY,Lht_JH2xi6w,PKrnlGEW3ZU,5P3OcCGE_Rk,BgxZ5p2l7qY,sVs2sLIiJCI,dBV16QCRDfw,9PtYmgX3p0k,oOixk0j7q_0,f-q81KoJphk,7tkQGTWGKbY,tpM0i1NINYc,smMJQFp7Iqo,AQ0W8PwslYY
